slug	rawpath	technique	family	severity	tags	source_sha256	review_status
sqli-advanced-sqli-techniques	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques.md	Advanced SQLi Techniques	injection	critical		8d309a7e2e6fe2e1920e29d7790cf5234ed8e5424760ad6b85b476ed3bd9d44a	imported-unreviewed
sqli-advanced-sqli-techniques-common-character-bypasses	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Common Character Bypasses.md	Common Character Bypasses	injection	critical		19651278d7b8ad0b5fe702de0e2b4bf36538587bbacdb5b36e9e34dc640c4b56	imported-unreviewed
sqli-advanced-sqli-techniques-error-based-sqli	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Error-Based SQLi.md	Error-Based SQLi	injection	critical		f0957c66fd0a5e6ed6b0036a400190c266c303c7f4c8c2d196ea588c8c3baab7	imported-unreviewed
sqli-advanced-sqli-techniques-second-order-sqli	Web attacks/Web Attacks/SQLi/Advanced SQLi Techniques/Second-Order SQLi.md	Second-Order SQLi	injection	critical		3c692a794911953a690239bdb7ab69c78ae9c12b9bfdfa980e102520fd9f1a24	imported-unreviewed
sqli-advanced-sqlmap	Web attacks/Web Attacks/SQLi/Advanced SQLMap.md	Advanced SQLMap	injection	critical		9b7c68898a8d7f6590cc8a7cad8c52584722dc65cd34bb0443da09789ef6156a	imported-unreviewed
sqli-blind-sql-injection	Web attacks/Web Attacks/SQLi/Blind SQL Injection.md	Blind SQL Injection	injection	critical		64497cf2395c21daaf5837c314175dd0b4e8667b8cb4b59c8e2b4967d5e7b6c8	imported-unreviewed
sqli-custom-tampering	Web attacks/Web Attacks/SQLi/Custom Tampering.md	Custom Tampering	injection	critical		267cc42ffd79f2376d08dca613d513f07d9df09476dda6817b9a7ba618d4cf53	imported-unreviewed
sqli-file-read	Web attacks/Web Attacks/SQLi/File Read.md	File Read	injection	critical		8811d75832d36d170ca262d46bfca3296f84564a1ca0192094020a0cbf4ea517	imported-unreviewed
sqli-identifying-vulnerabilities	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities.md	Identifying Vulnerabilities	injection	critical		e174740fbad629f855ef967382b3918a232863c6564f0ec2021eb910487ad36d	imported-unreviewed
sqli-identifying-vulnerabilities-decompiling-java-archives	Web attacks/Web Attacks/SQLi/Identifying Vulnerabilities/Decompiling Java Archives.md	Decompiling Java Archives	injection	critical		27c2e7283853fcacb1eccf22ae4ec1644746e82856c58497d27958f6117923e7	imported-unreviewed
